2023-06-24 10:45:15.857  INFO -- [RMI TCP Connection(23)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 11:55:14.226  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 11:55:14.288  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:55:14.289  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:55:14.289  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:55:14.289  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:55:14.450  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:55:14.451  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:55:14.462  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:55:14.465  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:55:14.466  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:55:53.931  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:55:53.932  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:55:53.932  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:55:53.932  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:55:53.941  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:55:53.941  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:55:53.949  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:55:53.951  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:55:53.951  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:56:46.220  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:56:46.220  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:56:46.220  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:56:46.220  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:56:46.236  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:56:46.236  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:56:46.238  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:56:46.238  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:56:46.238  INFO -- [http-nio-8081-exec-5] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:57:28.270  INFO -- [RMI TCP Connection(11)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 11:57:28.279  INFO -- [RMI TCP Connection(11)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 11:57:28.279  INFO -- [RMI TCP Connection(11)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:20:30.084  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 26580 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:20:30.090  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:20:31.127  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:20:31.141  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:20:31.141  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:20:31.312  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:20:31.312  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1152 ms
2023-06-24 12:20:31.783  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:20:31.800  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 2.222 seconds (process running for 5.3)
2023-06-24 12:20:37.574  INFO -- [http-nio-8081-exec-4] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:20:37.574  INFO -- [http-nio-8081-exec-4] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:20:37.576  INFO -- [http-nio-8081-exec-4] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 12:20:37.646  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:20:37.647  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:20:37.647  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:20:37.648  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:20:37.699  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 12:20:37.700  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 12:20:37.718  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 12:20:37.721  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 12:20:37.721  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 12:21:23.529  INFO -- [RMI TCP Connection(10)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 12:21:23.540  INFO -- [RMI TCP Connection(10)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 12:21:23.580  INFO -- [RMI TCP Connection(10)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:21:30.428  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 28704 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:21:30.432  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:21:32.377  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:21:32.394  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:21:32.394  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:21:32.513  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:21:32.513  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2009 ms
2023-06-24 12:21:33.038  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:21:33.053  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 3.17 seconds (process running for 4.384)
2023-06-24 12:22:12.689  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:22:12.690  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:22:12.691  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 12:22:12.833  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:22:12.833  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:22:12.833  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:22:12.833  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:22:12.879  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 12:22:12.879  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 12:22:12.891  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 12:22:12.893  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 12:22:12.893  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 12:22:21.649  INFO -- [RMI TCP Connection(10)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 12:22:21.661  INFO -- [RMI TCP Connection(10)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 12:22:21.668  INFO -- [RMI TCP Connection(10)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:27:29.464  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 7700 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:27:29.469  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:27:30.094  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:27:30.104  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:27:30.104  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:27:30.218  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:27:30.218  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 712 ms
2023-06-24 12:27:30.514  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:27:30.522  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.402 seconds (process running for 3.561)
2023-06-24 12:27:32.970  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:27:32.970  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:27:32.971  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2023-06-24 12:27:33.020  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:27:33.020  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:27:33.020  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:27:33.020  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:27:33.060  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 12:27:33.060  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 12:27:33.060  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : properties: {cnum: 0009VM744-002JI2744}
2023-06-24 12:27:33.074  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 12:27:33.077  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 12:27:33.077  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 12:27:41.749  INFO -- [RMI TCP Connection(7)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 12:27:41.762  INFO -- [RMI TCP Connection(7)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 12:27:41.764  INFO -- [RMI TCP Connection(7)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:31:11.212  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 27132 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:31:11.217  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:31:11.923  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:31:11.935  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:31:11.935  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:31:12.028  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:31:12.029  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 774 ms
2023-06-24 12:31:12.365  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:31:12.372  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.481 seconds (process running for 1.963)
2023-06-24 12:31:30.326  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:31:30.326  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:31:30.327  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 12:31:30.374  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:31:30.374  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:31:30.374  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:31:30.375  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:31:30.409  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 12:31:30.410  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 12:31:30.410  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : properties: {cnum: 0009VM744-002JI2744}
2023-06-24 12:31:30.410  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : facadeURL: http://localhost:8082/filenetFacade/createDoct?token=Token is generated: 002JI2744&MimeType=application/pdf&ClassName=Micro&Properties={cnum: 0009VM744-002JI2744}
2023-06-24 12:31:30.422  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 12:31:30.425  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 12:31:30.425  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 12:31:35.846  INFO -- [RMI TCP Connection(8)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 12:31:35.861  INFO -- [RMI TCP Connection(8)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 12:31:35.862  INFO -- [RMI TCP Connection(8)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:33:00.456  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 28112 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:33:00.483  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:33:02.301  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:33:02.420  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:33:02.421  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:33:02.639  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:33:02.640  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2119 ms
2023-06-24 12:33:02.980  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:33:02.989  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 2.899 seconds (process running for 4.076)
2023-06-24 12:33:10.243  INFO -- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:33:10.243  INFO -- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:33:10.244  INFO -- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 12:33:10.293  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:33:10.294  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:33:10.294  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:33:10.294  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:33:10.335  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 12:33:10.336  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 12:33:10.336  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : properties: {cnum: 0009VM744-002JI2744}
2023-06-24 12:33:10.336  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : facadeURL: http://localhost:8082/filenetFacade/createDoct?token=Token is generated: 002JI2744&MimeType=application/pdf&ClassName=Micro&Properties={cnum: 0009VM744-002JI2744}
2023-06-24 12:33:10.353  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 12:33:10.355  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 12:33:10.355  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 12:33:14.803  INFO -- [RMI TCP Connection(7)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 12:33:14.819  INFO -- [RMI TCP Connection(7)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 12:33:14.819  INFO -- [RMI TCP Connection(7)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 12:40:53.802  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 11572 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 12:40:53.806  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 12:40:54.494  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 12:40:54.504  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 12:40:54.504  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 12:40:54.612  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 12:40:54.612  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 764 ms
2023-06-24 12:40:54.897  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 12:40:54.906  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.484 seconds (process running for 3.678)
2023-06-24 12:41:01.843  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 12:41:01.843  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 12:41:01.843  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2023-06-24 12:41:01.891  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 12:41:01.891  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 12:41:01.891  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 12:41:01.891  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 12:41:01.928  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
